Release date,Title,Word,Excel,PowerPoint,Other Components,Feature_1,Feature_2,Feature_3
19-Nov-90,Office 1.0,Word 1.1,Excel 2.0,PowerPoint 2.0,,,,
4-Mar-91,Office 1.5,Word 1.1,Excel 3.0,PowerPoint 2.0,,,,
8-Jul-91,Office 1.6,Word 1.1,Excel 3.0,PowerPoint 2.0,Mail 2.1,Last version to support Windows 3.0,,
30-Aug-92,Office 3.0,Word 2.0c,Excel 4.0,PowerPoint 3.0,Mail 3.0,Later rebranded as Office 92,,
17-Jan-94,Office 4.0,Word 6.0,Excel 4.0,PowerPoint 3.0,Mail 3.1,,,
2-Jun-94,Office 4.3,Word 6.0,Excel 5.0,PowerPoint 4.0,"Mail 3.2, Access 2.0","This is the last 16-bit version. This means that it is also the last version to support Windows 3.x, Windows NT 3.1",,
3-Jul-94,Office for NT 4.2,Word 6.0,Excel 5.0,PowerPoint 4.0,Office Manager,Runs on Windows NT 3.5,,
24-Aug-95,Office 95 (7.0),Word 95,Excel 95,PowerPoint 95,"Schedule+, Binder, Access, Bookshelf",Coincided with the Windows 95 operating system release.,Works only on Windows 95 as well as Windows NT 3.51 and later. This is the first Office version to have the same version number,
19-Nov-96,Office 97 (8.0),Word 97,Excel 97,PowerPoint 97," Outlook, Access, BookShelf Basics, Publisher 97, Publisher 98, Small Business Financial Manager 97, Small Business Financial Manager 98, Automap Street Plus, Direct Mail Manager, Expedia Streets 98",Was published on CD-ROM as well as on a set of 45 3Î_-inch floppy disks,became Y2K-safe with Service Release 2,was the last version to support Windows NT 3.51.
20-Jun-97,Office 97 Powered by Word 98 (8.5),Word 98,Excel 97,PowerPoint 97,"Outlook, Access, BookShelf Basics, Publisher 97, Publisher 98, Small Business Financial Manager 97, Small Business Financial Manager 98, Automap Street Plus, Direct Mail Manager, Expedia Streets 98",Was released only in Japanese and Korean editions,"First version to contain Outlook 98 in all editions and Publisher 98 in the Small Business Edition,",the first version of Office 97 to support Windows 98 Second Edition.
7-Jun-99,Office 2000 (9.0),Word 2000,Excel 2000,PowerPoint 2000,"Outlook, Publisher, Small Business Tools, Access, FrontPage, PhotoDraw","First Version to Support Windows XP, Windows Server 2003 and last version to support Windows 95. ","Office 2000 is also the last version not to include Product Activation and not covered by Office Genuine Advantage, although on individual installs, the Office Update website still required the presence of original install media for updates to install.",
31-May-01,Office XP (10.0),Word XP,Excel XP,PowerPoint XP,"Outlook, Access, Publisher, FrontPage, Small Business Tools","Last version to support Windows 98, Windows ME and Windows NT 4.0. ",Improved support for working in user accounts without administrative privileges on Windows 2000 and Windows XP.,
21-Oct-03,Office 2003 (11.0),Word 2003,Excel 2003,PowerPoint 2003,"Outlook, Publisher, Access, InfoPath",First version to introduce Windows XP style icons. ,Last version to support Windows 2000. ,Last version to have legacy menus.
30-Jan-07,Office 2007 (12.0),Word 2007,Excel 2007,PowerPoint 2007,"Outlook, Publisher, Access, InfoPath, Communicator, Groove, OneNote, Visio Viewer, OCT",Broadly released alongside Windows Vista. ,First version to use the new Ribbon user interface with tabbed menus.,
15-Jun-10,Office 2010 (14.0),Word 2010,Excel 2010,PowerPoint 2010,"OneNote, Outlook, Publisher, Access, InfoPath, SharePoint Workspace, Visio Viewer, OCT, Lync",This is the first version to ship in 32-bit and 64-bit. ,"Last version to support Windows XP, Windows Server 2003 and Windows Vista. ",Version 13.0 was skipped because of the fear of the number 13.
29-Jan-13,Office 2013 (15.0),Word 2013,Excel 2013,PowerPoint 2013,"OneNote, Outlook, Publisher, Access, Lync, Skype for Business, Visio Viewer",Lync is replaced with Skype for Business after an update.,,
22-Sep-15,Office 2016 (16.0),Word 2016,Excel 2016,PowerPoint 2016,"OneNote, Outlook, Publisher, Access, Skype for Business, Visio Viewer","Last version to support Windows 7, Windows 8, Windows 8.1, Windows Server 2008 and Windows Server 2012.",,
