,0,1,2,3
0,Release date,Title,Components,Notes
1,"November 19, 1990",Office 1.0,"Word 1.1, Excel 2.0, PowerPoint 2.0",
2,"March 4, 1991",Office 1.5,"Word 1.1, Excel 3.0, PowerPoint 2.0",
3,"July 8, 1991",Office 1.6,"Word 1.1, Excel 3.0, PowerPoint 2.0, Mail 2.1",Last version to support Windows 3.0
4,"August 30, 1992",Office 3.0,"Word 2.0c, Excel 4.0, PowerPoint 3.0, Mail 3.0",Later rebranded as Office 92
5,"January 17, 1994",Office 4.0,"Word 6.0, Excel 4.0, PowerPoint 3.0, Mail 3.1",
6,"June 2, 1994",Office 4.3,"Word 6.0, Excel 5.0, PowerPoint 4.0, Mail 3.2, Access 2.0","This is the last 16-bit version. This means that it is also the last version to support Windows 3.x, Windows NT 3.1"
7,"July 3, 1994",Office for NT 4.2,"Word 6.0, Excel 5.0, PowerPoint 4.0, Office Manager",Runs on Windows NT 3.5
8,"August 24, 1995",Office 95 (7.0),"Word, Excel, PowerPoint, Schedule+, Binder, Access, Bookshelf","Coincided with the Windows 95 operating system release. Works only on Windows 95 as well as Windows NT 3.51 and later. This is the first Office version to have the same version number (7.0, inherited from Word 6.0) for all major component products (Word, Excel and so on)."
9,"November 19, 1996",Office 97 (8.0),"Word 97, Word 98, Excel, Outlook, PowerPoint, Access, BookShelf Basics, Publisher 97, Publisher 98, Small Business Financial Manager 97, Small Business Financial Manager 98, Automap Street Plus, Direct Mail Manager, Expedia Streets 98","Was published on CD-ROM as well as on a set of 45 3½-inch floppy disks, became Y2K-safe with Service Release 2, and was the last version to support Windows NT 3.51."
10,"June 20, 1997",Office 97 Powered by Word 98 (8.5),"Was released only in Japanese and Korean editions. First version to contain Outlook 98 in all editions and Publisher 98 in the Small Business Edition, as well as the first version of Office 97 to support Windows 98 Second Edition.",
11,"June 7, 1999",Office 2000 (9.0),"Word, Excel, Outlook, PowerPoint, Publisher, Small Business Tools, Access, FrontPage, PhotoDraw","First Version to Support Windows XP, Windows Server 2003 and last version to support Windows 95. Office 2000 is also the last version not to include Product Activation and not covered by Office Genuine Advantage, although on individual installs, the Office Update website still required the presence of original install media for updates to install."
12,"May 31, 2001",Office XP (10.0),"Word, Excel, Outlook, PowerPoint, Access, Publisher, FrontPage, Small Business Tools","Last version to support Windows 98, Windows ME and Windows NT 4.0. Improved support for working in user accounts without administrative privileges on Windows 2000 and Windows XP."
13,"October 21, 2003",Office 2003 (11.0),"Word, Excel, Outlook, PowerPoint, Publisher, Access, InfoPath",First version to introduce Windows XP style icons. Last version to support Windows 2000. Last version to have legacy menus.
14,"January 30, 2007",Office 2007 (12.0),"Word, Excel, PowerPoint, Outlook, Publisher, Access, InfoPath, Communicator, Groove, OneNote, Visio Viewer, OCT",Broadly released alongside Windows Vista. First version to use the new Ribbon user interface with tabbed menus.
15,"June 15, 2010",Office 2010 (14.0),"Word, Excel, PowerPoint, OneNote, Outlook, Publisher, Access, InfoPath, SharePoint Workspace, Visio Viewer, OCT, Lync","This is the first version to ship in 32-bit and 64-bit. Last version to support Windows XP, Windows Server 2003 and Windows Vista. Version 13.0 was skipped because of the fear of the number 13."
16,"January 29, 2013",Office 2013 (15.0),"Word, Excel, PowerPoint, OneNote, Outlook, Publisher, Access, Lync, Skype for Business, Visio Viewer",Lync is replaced with Skype for Business after an update.
17,"September 22, 2015",Office 2016 (16.0),"Word, Excel, PowerPoint, OneNote, Outlook, Publisher, Access, Skype for Business, Visio Viewer","Last version to support Windows 7, Windows 8, Windows 8.1, Windows Server 2008 and Windows Server 2012."
